[rosmaster.main][INFO] 1970-01-01 02:28:28,498: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 1970-01-01 02:28:28,499: Starting ROS Master Node
[xmlrpc][INFO] 1970-01-01 02:28:28,503: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 1970-01-01 02:28:28,506: Started XML-RPC server [http://snickerdoodle:11311/]
[rosmaster.master][INFO] 1970-01-01 02:28:28,507: Master initialized: port[11311], uri[http://snickerdoodle:11311/]
[xmlrpc][INFO] 1970-01-01 02:28:28,508: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 1970-01-01 02:28:28,623: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 02:28:28,632: +PARAM [/roslaunch/uris/host_snickerdoodle__46464] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 02:28:28,764: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 02:28:28,765: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 02:28:29,049: +SERVICE [/rosout/get_loggers] /rosout http://snickerdoodle:33902/
[rosmaster.master][INFO] 1970-01-01 02:28:29,055: +SERVICE [/rosout/set_logger_level] /rosout http://snickerdoodle:33902/
[rosmaster.master][INFO] 1970-01-01 02:28:29,065: +PUB [/rosout_agg] /rosout http://snickerdoodle:33902/
[rosmaster.master][INFO] 1970-01-01 02:28:29,091: +SUB [/rosout] /rosout http://snickerdoodle:33902/
[rosmaster.master][INFO] 1970-01-01 02:28:41,469: -PUB [/rosout_agg] /rosout http://snickerdoodle:33902/
[rosmaster.master][INFO] 1970-01-01 02:28:41,475: -SUB [/rosout] /rosout http://snickerdoodle:33902/
[rosmaster.master][INFO] 1970-01-01 02:28:41,481: -SERVICE [/rosout/get_loggers] /rosout rosrpc://snickerdoodle:56306
[rosmaster.master][INFO] 1970-01-01 02:28:41,487: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://snickerdoodle:56306
[rosmaster.main][INFO] 1970-01-01 02:28:41,657: keyboard interrupt, will exit
[rosmaster.main][INFO] 1970-01-01 02:28:41,657: stopping master...
[rospy.core][INFO] 1970-01-01 02:28:41,658: signal_shutdown [atexit]
